ticker,earnings_date,fiscal_quarter,fiscal_quarter_end
HD,2020-03-25,2018Q4,2018-10-28
HD,2020-05-27,2019Q2,2019-05-05
HD,2020-08-25,2019Q3,2019-08-04
HD,2020-11-24,2019Q4,2019-11-03
HD,2021-03-24,2018Q1,2018-01-28
HD,2021-05-25,2020Q2,2020-05-03
HD,2021-08-24,2020Q3,2020-08-02
HD,2021-11-23,2020Q4,2020-11-01
HD,2022-03-23,2019Q1,2019-02-03
HD,2022-05-24,2021Q2,2021-05-02
HD,2022-08-23,2021Q3,2021-08-01
HD,2022-11-22,2021Q4,2021-10-31
HD,2023-03-15,2020Q1,2020-02-02
HD,2023-05-23,2022Q2,2022-05-01
HD,2023-08-22,2022Q3,2022-07-31
HD,2023-11-21,2022Q4,2022-10-30
HON,2014-02-14,2010Q4,2010-12-31
HON,2014-02-14,2012Q3,2012-09-30
HON,2015-02-13,2011Q4,2011-12-31
HON,2015-02-13,2013Q1,2013-03-31
HON,2015-02-13,2013Q2,2013-06-30
HON,2015-02-13,2013Q3,2013-09-30
HON,2016-02-12,2012Q4,2012-12-31
HON,2016-02-12,2014Q1,2014-03-31
HON,2016-02-12,2014Q2,2014-06-30
HON,2016-02-12,2014Q3,2014-09-30
HON,2017-02-10,2013Q4,2013-12-31
HON,2017-02-10,2015Q1,2015-03-31
HON,2017-02-10,2015Q2,2015-06-30
HON,2017-02-10,2015Q3,2015-09-30
HON,2018-02-09,2014Q4,2014-12-31
HON,2018-02-09,2016Q1,2016-03-31
HON,2018-02-09,2016Q2,2016-06-30
HON,2018-02-09,2016Q3,2016-09-30
HON,2019-02-08,2015Q4,2015-12-31
HON,2019-02-08,2017Q1,2017-03-31
HON,2019-02-08,2017Q2,2017-06-30
HON,2019-02-08,2017Q3,2017-09-30
HON,2020-02-14,2016Q4,2016-12-31
HON,2020-02-14,2018Q1,2018-03-31
HON,2020-02-14,2018Q2,2018-06-30
HON,2020-02-14,2018Q3,2018-09-30
HON,2021-02-12,2017Q4,2017-12-31
HON,2021-02-12,2019Q1,2019-03-31
HON,2021-02-12,2019Q2,2019-06-30
HON,2021-02-12,2019Q3,2019-09-30
HON,2021-04-23,2020Q1,2020-03-31
HON,2021-07-23,2020Q2,2020-06-30
HON,2021-10-22,2020Q3,2020-09-30
HON,2022-02-11,2018Q4,2018-12-31
HON,2022-04-29,2021Q1,2021-03-31
HON,2022-07-28,2021Q2,2021-06-30
HON,2022-10-27,2021Q3,2021-09-30
HON,2023-02-10,2019Q4,2019-12-31
HON,2023-04-27,2022Q1,2022-03-31
HON,2023-07-27,2022Q2,2022-06-30
HON,2023-10-26,2022Q3,2022-09-30
JNJ,2014-02-21,2011Q1,2011-01-02
JNJ,2014-02-21,2012Q2,2012-04-01
JNJ,2014-02-21,2012Q3,2012-09-30
JNJ,2015-02-24,2012Q1,2012-01-01
JNJ,2015-02-24,2013Q1,2013-03-31
JNJ,2015-02-24,2013Q2,2013-06-30
JNJ,2015-02-24,2013Q3,2013-09-29
JNJ,2016-02-24,2012Q4,2012-12-30
JNJ,2016-02-24,2014Q1,2014-03-30
JNJ,2016-02-24,2014Q2,2014-06-29
JNJ,2016-02-24,2014Q3,2014-09-28
JNJ,2017-02-27,2013Q4,2013-12-29
JNJ,2017-02-27,2015Q1,2015-03-29
JNJ,2017-02-27,2015Q2,2015-06-28
JNJ,2017-02-27,2015Q3,2015-09-27
JNJ,2018-02-21,2014Q4,2014-12-28
JNJ,2018-02-21,2016Q2,2016-04-03
JNJ,2018-02-21,2016Q3,2016-07-03
JNJ,2018-02-21,2016Q4,2016-10-02
JNJ,2019-02-20,2016Q1,2016-01-03
JNJ,2019-02-20,2017Q2,2017-04-02
JNJ,2019-02-20,2017Q3,2017-07-02
JNJ,2020-02-18,2017Q1,2017-01-01
JNJ,2020-02-18,2018Q2,2018-04-01
JNJ,2020-02-18,2018Q3,2018-09-30
JNJ,2020-07-24,2019Q1,2019-03-31
JNJ,2020-10-23,2019Q2,2019-06-30
JNJ,2020-10-23,2019Q3,2019-09-29
JNJ,2021-02-22,2017Q4,2017-12-31
JNJ,2021-07-29,2020Q1,2020-03-29
JNJ,2021-10-29,2020Q2,2020-06-28
JNJ,2021-10-29,2020Q3,2020-09-27
JNJ,2022-02-17,2018Q4,2018-12-30
JNJ,2022-07-29,2021Q2,2021-04-04
JNJ,2022-10-27,2021Q3,2021-07-04
JNJ,2022-10-27,2021Q4,2021-10-03
JNJ,2023-02-16,2019Q4,2019-12-29
JPM,2014-02-20,2010Q4,2010-12-31
JPM,2014-05-02,2013Q1,2013-03-31
JPM,2014-08-04,2013Q2,2013-06-30
JPM,2014-11-03,2013Q3,2013-09-30
JPM,2015-02-24,2011Q4,2011-12-31
JPM,2015-05-05,2014Q1,2014-03-31
JPM,2015-08-03,2014Q2,2014-06-30
JPM,2015-11-02,2014Q3,2014-09-30
JPM,2016-02-23,2012Q4,2012-12-31
JPM,2016-04-29,2015Q1,2015-03-31
JPM,2016-08-03,2015Q2,2015-06-30
JPM,2016-11-01,2015Q3,2015-09-30
JPM,2017-02-28,2013Q4,2013-12-31
JPM,2017-05-02,2016Q1,2016-03-31
JPM,2017-08-02,2016Q2,2016-06-30
JPM,2017-11-01,2016Q3,2016-09-30
JPM,2018-02-27,2014Q4,2014-12-31
JPM,2018-05-02,2017Q1,2017-03-31
JPM,2018-08-01,2017Q2,2017-06-30
JPM,2018-10-31,2017Q3,2017-09-30
JPM,2019-02-26,2015Q4,2015-12-31
JPM,2019-05-02,2018Q1,2018-03-31
JPM,2019-08-06,2018Q2,2018-06-30
JPM,2019-11-04,2018Q3,2018-09-30
JPM,2020-02-25,2016Q4,2016-12-31
JPM,2020-05-07,2019Q1,2019-03-31
JPM,2020-08-03,2019Q2,2019-06-30
JPM,2020-11-02,2019Q3,2019-09-30
JPM,2021-02-23,2017Q4,2017-12-31
JPM,2021-05-04,2020Q1,2020-03-31
JPM,2021-08-02,2020Q2,2020-06-30
JPM,2021-11-02,2020Q3,2020-09-30
JPM,2022-02-22,2018Q4,2018-12-31
JPM,2022-05-03,2021Q1,2021-03-31
JPM,2022-08-03,2021Q2,2021-06-30
JPM,2022-11-03,2021Q3,2021-09-30
JPM,2023-02-21,2019Q4,2019-12-31
JPM,2023-05-03,2022Q1,2022-03-31
JPM,2023-08-03,2022Q2,2022-06-30
JPM,2023-11-01,2022Q3,2022-09-30
KO,2014-02-27,2010Q4,2010-12-31
KO,2014-04-24,2013Q1,2013-03-29
KO,2014-07-30,2013Q2,2013-06-28
KO,2014-10-29,2013Q3,2013-09-27
